1709124507.476734 server started (31581): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1709124507.476760 on Linux 6.6.16-2-MANJARO #1 SMP PREEMPT_DYNAMIC Sat Feb 10 09:40:02 UTC 2024
1709124507.476766 using libevent 2.1.12-stable poll
1709124507.476767 using ncurses 6.4 20230520
1709124507.476815 input_key_build: 0x10e003 (PasteStart) is \033[200~
1709124507.476818 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1709124507.476820 input_key_build: 0x10e195 (F1) is \033OP
1709124507.476821 input_key_build: 0x10e196 (F2) is \033OQ
1709124507.476822 input_key_build: 0x10e197 (F3) is \033OR
1709124507.476823 input_key_build: 0x10e198 (F4) is \033OS
1709124507.476824 input_key_build: 0x10e199 (F5) is \033[15~
1709124507.476826 input_key_build: 0x10e19a (F6) is \033[17~
1709124507.476827 input_key_build: 0x10e19b (F7) is \033[18~
1709124507.476828 input_key_build: 0x10e19c (F8) is \033[19~
1709124507.476829 input_key_build: 0x10e19d (F9) is \033[20~
1709124507.476830 input_key_build: 0x10e19e (F10) is \033[21~
1709124507.476831 input_key_build: 0x10e19f (F11) is \033[23~
1709124507.476832 input_key_build: 0x10e1a0 (F12) is \033[24~
1709124507.476833 input_key_build: 0x10e1a1 (IC) is \033[2~
1709124507.476834 input_key_build: 0x10e1a2 (DC) is \033[3~
1709124507.476836 input_key_build: 0x10e1a3 (Home) is \033[1~
1709124507.476837 input_key_build: 0x10e1a4 (End) is \033[4~
1709124507.476838 input_key_build: 0x10e1a5 (NPage) is \033[6~
1709124507.476839 input_key_build: 0x10e1a6 (PPage) is \033[5~
1709124507.476845 input_key_build: 0x10e1a7 (BTab) is \033[Z
1709124507.476847 input_key_build: 0x10e1a8 (Up) is \033[A
1709124507.476848 input_key_build: 0x10e1a9 (Down) is \033[B
1709124507.476850 input_key_build: 0x10e1aa (Left) is \033[D
1709124507.476851 input_key_build: 0x10e1ab (Right) is \033[C
1709124507.476852 input_key_build: 0x10e1ac (KP/) is /
1709124507.476853 input_key_build: 0x10e1ad (KP*) is *
1709124507.476854 input_key_build: 0x10e1ae (KP-) is -
1709124507.476855 input_key_build: 0x10e1af (KP7) is 7
1709124507.476857 input_key_build: 0x10e1b0 (KP8) is 8
1709124507.476858 input_key_build: 0x10e1b1 (KP9) is 9
1709124507.476859 input_key_build: 0x10e1b2 (KP+) is +
1709124507.476860 input_key_build: 0x10e1b3 (KP4) is 4
1709124507.476861 input_key_build: 0x10e1b4 (KP5) is 5
1709124507.476862 input_key_build: 0x10e1b5 (KP6) is 6
1709124507.476863 input_key_build: 0x10e1b6 (KP1) is 1
1709124507.476864 input_key_build: 0x10e1b7 (KP2) is 2
1709124507.476865 input_key_build: 0x10e1b8 (KP3) is 3
1709124507.476867 input_key_build: 0x10e1b9 (KPEnter) is \n
1709124507.476868 input_key_build: 0x10e1ba (KP0) is 0
1709124507.476869 input_key_build: 0x10e1bb (KP.) is .
1709124507.476870 input_key_build: 0x200000000009 (C-Tab) is \t
1709124507.476871 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1709124507.476873 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1709124507.476876 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1709124507.476877 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1709124507.476878 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1709124507.476880 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1709124507.476881 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
